PassengerId	DeckCabin
1	0.490038188109
2	85.0
3	81.9117291355
4	123.0
5	43.1065204257
6	5.21912845244
7	46.0
8	67.649083166
9	37.5570441169
10	43.2063917988
11	6.0
12	103.0
13	19.9710253259
14	12.5773858534
15	28.1072466776
16	23.6209705658
17	94.5428754718
18	56.8480003664
19	88.3721329708
20	109.085893853
21	60.8344805426
22	56.0
23	59.266501273
24	6.0
25	31.0374563819
26	38.9036378415
27	60.4034935303
28	23.0
29	30.9807936847
30	26.9190501317
31	68.3394577771
32	78.0
33	52.0689548227
34	33.8760282204
35	107.298450866
36	37.3039391798
37	16.1620909631
38	102.908802659
39	8.14106753177
40	63.4006862026
41	36.6813750438
42	63.5819341154
43	61.9867547053
44	19.9242906879
45	0.836134806547
46	18.071399785
47	37.3365071882
48	96.5597550416
49	17.9764248599
50	70.4393293568
51	24.559322826
52	16.9234215304
53	33.0
54	12.0883900556
55	30.0
56	52.0
57	155.075817268
58	160.572463153
59	57.6254387593
60	23.4529172393
61	64.3954374894
62	28.0
63	83.0
64	142.467604588
65	38.9872135555
66	47.1095031959
67	33.0
68	206.557671188
69	0.546018127717
70	35.0257240769
71	0.190689577879
72	0.655071828534
73	63.5650171606
74	60.0210506043
75	51.1487694109
76	73.0
77	17.6741326713
78	85.1186794119
79	28.1960032869
80	35.797513337
81	16.7061343557
82	42.2722751936
83	32.1409120631
84	54.8634240474
85	83.3802764515
86	34.0404318652
87	105.321415547
88	133.041120405
89	23.0
90	74.6119700582
91	77.0685546022
92	80.8809658313
93	31.0
94	7.36784490755
95	14.9082548895
96	21.1601076413
97	5.0
98	10.0
99	136.534962841
100	100.394168433
101	82.7282212736
102	135.459067865
103	26.0
104	31.4349537377
105	51.2246874449
106	85.5253141714
107	12.3690907756
108	69.6774789204
109	45.326799214
110	17.4306746816
111	110.0
112	72.3026330008
113	37.2940319876
114	88.8250394667
115	30.5667622771
116	5.02784587685
117	45.4634953751
118	6.61632111242
119	58.0
120	26.3851376084
121	16.8928060068
122	119.840594833
123	40.3395019559
124	101.0
125	26.0
126	153.221604894
127	20.4730777729
128	72.782657119
129	69.0
130	52.1796834652
131	34.910271447
132	11.2330188762
133	60.785144394
134	52.0464521987
135	49.9883053832
136	4.98062959712
137	47.0
138	123.0
139	39.6281805928
140	86.0
141	17.1117400147
142	36.6322016685
143	35.9764327917
144	62.8514355716
145	88.3367564556
146	87.9473758643
147	50.9064489259
148	50.1143890981
149	2.0
150	69.7397099995
151	50.2606151867
152	2.0
153	8.92972954562
154	15.073194965
155	46.5236395923
156	67.3762610648
157	62.5674288041
158	8.32056393573
159	103.563384466
160	39.6710455194
161	22.651960559
162	74.7774152856
163	45.6904707086
164	66.3511327483
165	28.1137146232
166	71.2818005886
167	33.0
168	52.0261151858
169	54.179835384
170	2.68438123818
171	19.0
172	66.9449903681
173	70.6396729385
174	44.0261622063
175	7.0
176	55.4981481475
177	19.4862430939
178	49.0
179	64.2830450338
180	92.4951636921
181	35.0681104775
182	61.2476918938
183	46.4951231767
184	4.0
185	29.8364697259
186	32.0
187	34.7178651277
188	29.5806493168
189	96.9532198144
190	24.3211619841
191	91.4507608221
192	12.276120673
193	35.6479603088
194	2.0
195	4.0
196	80.0
197	102.480554649
198	10.4484663173
199	36.8681770535
200	9.6362773666
201	37.9412728549
202	121.799440538
203	35.7743336832
204	78.0334759865
205	20.4796453525
206	6.0
207	25.3915034128
208	0.098379738059
209	49.1034012792
210	31.0
211	27.7722958555
212	41.8518304146
213	84.9847126673
214	24.8454570824
215	133.927053428
216	36.0
217	80.7046898064
218	76.1218780968
219	15.0
220	59.4942568736
221	84.5487848496
222	7.26965954544
223	24.2478344308
224	131.967567229
225	93.0
226	68.7139481485
227	12.8438760287
228	18.828239365
229	26.3850149084
230	18.3911733948
231	83.0
232	102.803790259
233	44.8616517248
234	20.9137589181
235	17.2127941088
236	90.817396059
237	12.1775006517
238	111.554105282
239	45.2275616669
240	55.6744627682
241	72.2560176488
242	1.16250634309
243	19.9011442451
244	98.2834074806
245	91.2878910939
246	78.0
247	18.5911027019
248	130.220144488
249	35.0
250	6.81372957483
251	63.4569084922
252	6.0
253	87.0
254	80.8808643788
255	7.79431521223
256	12.7407055376
257	49.5052370923
258	77.0
259	48.0455983446
260	50.4193917221
261	99.0015793944
262	84.5745976046
263	67.0
264	94.0
265	43.6007123714
266	149.398556886
267	54.1562855685
268	6.79640399745
269	125.0
270	99.0
271	119.482313731
272	77.4510429757
273	42.6273731053
274	118.0
275	43.3383075949
276	7.0
277	34.9398111343
278	58.3369171923
279	25.7781213344
280	18.1901113621
281	36.4918305742
282	3.93362911873
283	66.5485759975
284	41.0951956919
285	19.0
286	75.0036165489
287	84.4045196129
288	46.8720805883
289	24.1868072361
290	24.151857032
291	44.9715923557
292	49.0
293	54.9740655929
294	73.7853728689
295	27.8894752021
296	59.3822390768
297	113.543513054
298	22.0
299	106.0
300	58.0
301	79.6482208348
302	71.1946218679
303	71.5712143639
304	101.0
305	69.4929883189
306	22.0
307	14.5024086713
308	65.0
309	33.1698657495
310	36.0
311	54.0
312	57.0
313	77.6553828253
314	62.7188436251
315	41.4398307162
316	13.594265303
317	100.850928932
318	109.037493097
319	7.0
320	34.0
321	63.1284675564
322	64.6988277115
323	43.7157044599
324	13.579426044
325	94.6150951645
326	32.0
327	67.6588708378
328	89.7810216245
329	20.327381926
330	18.0
331	43.0274992162
332	124.0
333	91.0
334	41.6443964578
335	54.500480603
336	56.3435250372
337	2.0
338	40.0
339	41.4946877527
340	8.14509111696
341	2.0
342	23.0
343	26.1609665431
344	67.9299253094
345	103.761155018
346	33.0
347	55.3750062068
348	59.3358635219
349	47.9399433909
350	89.6712314892
351	19.1447758228
352	128.0
353	5.9364319403
354	85.902997755
355	25.7982976847
356	40.8347480483
357	33.0
358	36.241910005
359	29.2005724319
360	20.8851351708
361	43.2365754622
362	5.2119925854
363	18.0105228696
364	100.89698832
365	14.5657210321
366	48.7129463959
367	37.0
368	44.9559546044
369	52.3763853199
370	35.0
371	50.0
372	85.6289917839
373	62.3701842855
374	28.1582129259
375	50.2749053752
376	47.2016814936
377	9.40404131341
378	82.0
379	12.2737083305
380	24.6861847901
381	95.5059964679
382	44.0652123902
383	147.756233332
384	25.0563668927
385	33.4840198065
386	11.7303811558
387	47.1933740762
388	94.8252814606
389	45.8069224485
390	72.4995307899
391	96.0
392	45.6506041478
393	34.3879569928
394	36.0
395	6.0
396	99.7404196574
397	8.31520990419
398	55.6401933692
399	8.82711951045
400	97.0566008998
401	61.5684001696
402	91.5131258438
403	16.9269557959
404	52.4948163299
405	9.13746508275
406	50.8370948682
407	27.6277503938
408	28.5426479933
409	78.1610360878
410	38.212874635
411	59.1890122764
412	45.5615854211
413	78.0
414	62.4256878818
415	73.8460800691
416	8.88914191998
417	44.7957081917
418	50.9211946066
419	86.487210931
420	18.7775184688
421	47.1627722926
422	2.38641477639
423	7.06576923333
424	12.8243844227
425	20.6950923182
426	30.0998507792
427	57.9051213689
428	39.2463468168
429	52.8501801643
430	10.0
431	52.0
432	76.8055786032
433	66.2181524905
434	58.1921674223
435	44.0
436	96.0
437	5.5765794401
438	33.7959872135
439	23.0
440	58.3671375982
441	4.78701790951
442	18.7324874394
443	55.9050500407
444	99.7552997219
445	55.3393815779
446	34.0
447	40.1961804452
448	45.7639861787
449	89.0287956278
450	104.0
451	5.9106255971
452	95.9020287895
453	111.0
454	92.0
455	47.097249439
456	23.3919698722
457	38.0
458	21.0
459	17.8600882591
460	73.2378311281
461	12.0
462	82.6327076125
463	63.0
464	17.1836232285
465	35.2043182064
466	31.8997851443
467	20.7331109346
468	117.417725281
469	47.8002766888
470	62.8981799068
471	78.4238405311
472	52.2673151236
473	54.1785783041
474	66.9838633763
475	41.5950921773
476	14.0
477	3.55926357125
478	37.3095075203
479	41.8000725877
480	30.8803054894
481	95.1973267955
482	42.9152775416
483	139.834251255
484	66.1944351058
485	49.0
486	86.3597939203
487	93.0
488	37.0
489	131.8255458
490	75.07763863
491	101.899024016
492	81.8857934661
493	30.0
494	26.2523190345
495	18.9036100757
496	18.3917131376
497	20.0
498	45.2458485705
499	22.0
500	20.8445558753
501	78.8206242571
502	32.6351888904
503	59.8976493508
504	53.7412996006
505	79.0
506	65.0
507	29.0379236704
508	140.581995888
509	12.069157818
510	56.810541991
511	21.2607012435
512	12.6794003541
513	25.0
514	74.2969373275
515	65.391189569
516	46.0
517	33.0
518	20.0381952805
519	35.577758819
520	47.1007960355
521	73.0
522	31.039744591
523	51.6071906649
524	18.0
525	14.4304321907
526	96.6024974323
527	53.4337442593
528	95.0
529	152.444001521
530	68.9688386851
531	29.6020723431
532	116.382800869
533	69.4805306067
534	37.4465534952
535	30.6458010931
536	141.295638325
537	38.0
538	7.87078804772
539	64.8778520409
540	39.0
541	22.0
542	60.286132763
543	80.6209285336
544	6.32998087242
545	86.0
546	8.55210983386
547	91.3306293591
548	20.7708007135
549	30.8493100279
550	0.467334773784
551	70.0
552	4.56459774512
553	1.72802497934
554	45.6518598446
555	27.6483231853
556	6.17078844114
557	16.0
558	20.4652666213
559	67.0
560	44.599575871
561	45.1378059422
562	71.1702693113
563	16.3396941911
564	9.08000758758
565	4.98536097163
566	100.066778278
567	133.699682587
568	35.4131233837
569	71.9742081946
570	43.555169048
571	21.4509804063
572	101.0
573	25.0
574	7.21091252696
575	37.4469417959
576	62.7212276904
577	76.6937790847
578	44.0
579	43.9626907449
580	9.46722774857
581	96.138203523
582	68.0
583	38.7112679644
584	10.0
585	34.4591298995
586	68.0
587	92.3633789641
588	41.0
589	28.7919604155
590	12.8959242201
591	8.28380330532
592	20.0
593	7.6319264711
594	4.3012678455
595	27.1199790621
596	41.5428266377
597	8.04603837148
598	45.2722033679
599	84.5306674066
600	20.0
601	49.2214622395
602	25.8203977043
603	51.9653156767
604	33.0130309017
605	81.8811748514
606	60.5763394447
607	18.0935171594
608	79.9712764969
609	4.27664297992
610	125.0
611	114.663331356
612	32.7877490318
613	31.1947808734
614	83.339937891
615	41.5088814188
616	7.79820712393
617	7.91727988407
618	53.5534168374
619	4.0
620	67.6003907163
621	95.1448928616
622	19.0
623	36.0356921835
624	41.346606825
625	37.7106255328
626	50.0
627	60.9161212341
628	9.0
629	21.0975289347
630	38.454225865
631	23.0
632	63.9379925307
633	50.0
634	32.0713835468
635	20.8858310092
636	19.7182942351
637	2.1579608402
638	32.1878973939
639	88.135971019
640	56.543424956
641	20.5712560446
642	35.0
643	15.0803455063
644	82.5732848461
645	29.4512223158
646	33.0
647	39.111200566
648	26.0
649	59.5099223261
650	1.34225820631
651	8.97457333684
652	133.050560276
653	23.7065913484
654	70.9949778694
655	69.2982859687
656	17.2784064459
657	5.35565285535
658	62.009537536
659	3.35317426029
660	48.0
661	45.4159481657
662	9.34522033288
663	58.0
664	29.6114143086
665	63.3058878942
666	62.1024941031
667	9.49862671824
668	81.9560397197
669	69.5804108667
670	126.0
671	46.4148388871
672	71.0
673	75.908818188
674	125.841240557
675	93.3844504705
676	1.37427412681
677	45.437271876
678	85.8390213974
679	17.3818838044
680	51.0
681	34.0016702422
682	49.0
683	14.4615558507
684	20.2020315788
685	62.5809015182
686	57.7408843987
687	81.6879659733
688	49.224169456
689	35.8681438646
690	5.0
691	20.0
692	61.4044392044
693	15.8968051999
694	116.865519538
695	64.8556972606
696	64.6133278145
697	69.3287708041
698	40.37447855
699	68.0
700	63.0
701	62.0
702	24.0
703	48.7687528284
704	59.0770139959
705	100.64042232
706	34.5722466248
707	114.832519403
708	24.0
709	40.7618800205
710	36.0805825256
711	90.0
712	124.0
713	126.0
714	3.64245994431
715	52.1723339675
716	73.0
717	45.0
718	101.0
719	55.9894421
720	17.7586513277
721	47.7960404458
722	12.8255415835
723	47.0511972219
724	38.3329395889
725	8.0
726	99.1054335713
727	34.3908978996
728	47.6747930793
729	18.3245573316
730	11.0136281205
731	5.0
732	29.3764068415
733	96.4722217643
734	27.2722782565
735	61.9784781273
736	35.5300596022
737	22.1626540134
738	101.0
739	77.5230371389
740	57.5121360676
741	45.0
742	46.0
743	57.0
744	61.7651088774
745	9.06192736863
746	22.0
747	6.79824326679
748	35.5309715434
749	30.0
750	20.8625583134
751	57.6755813359
752	121.0
753	58.6428509872
754	48.2868360252
755	30.8476289441
756	52.9112809543
757	93.5244432747
758	21.0138416664
759	26.0892813542
760	77.0
761	78.8560728215
762	17.0683943246
763	80.0677082812
764	96.0
765	48.2396501472
766	11.0
767	1.31337659812
768	43.5565827871
769	20.217020239
770	91.747000765
771	35.9705322423
772	68.2480699411
773	77.0
774	38.862901059
775	61.680789513
776	57.0883572261
777	38.0
778	72.4062412704
779	34.290121919
780	3.0
781	24.0411021728
782	20.0
783	6.0
784	81.5124993609
785	33.4495851224
786	92.3065712099
787	6.58367700859
788	74.6659452713
789	2.21932860075
790	82.0
791	49.2925423779
792	25.6184068486
793	67.9419392147
794	7.46460506751
795	95.8427835806
796	64.2129647414
797	17.0
798	78.5870426764
799	48.5081091632
800	71.4316422225
801	61.8030891645
802	31.6409106903
803	96.0
804	9.41757659347
805	23.6811235341
806	19.5982436604
807	36.0
808	21.0013029169
809	23.1420596918
810	8.0
811	48.1418891295
812	47.3888583118
813	63.219944208
814	65.5098628031
815	79.5839984287
816	102.0
817	76.6367266509
818	72.5008751696
819	48.8272141639
820	35.4702560009
821	69.0
822	51.3738204258
823	109.606681679
824	121.0
825	99.2199537862
826	80.2548600842
827	58.1170198792
828	49.5625520013
829	58.174085535
830	28.0
831	34.154056182
832	42.1001278978
833	21.3612200843
834	5.26400575808
835	72.8411954602
836	49.0
837	68.1025167267
838	3.85891484704
839	18.7806882867
840	47.0
841	17.2967598848
842	24.768786705
843	12.8762825701
844	88.9745827976
845	47.2831529717
846	26.6944424506
847	10.3753200199
848	32.8888025627
849	56.6845021304
850	92.0
851	88.9291302364
852	13.8135046558
853	14.1048881797
854	28.0
855	68.5178729834
856	44.0205444921
857	30.8352900369
858	17.0
859	51.808648875
860	24.8588142346
861	157.121946717
862	12.388883964
863	17.0
864	73.1937307052
865	14.503075809
866	66.9969957106
867	28.6547904968
868	24.0
869	72.1751413662
870	112.131449634
871	38.6254147859
872	35.0
873	51.0
874	86.5916355453
875	16.4711621899
876	15.7334974198
877	24.1298824681
878	70.968978226
879	114.409986507
880	50.0
881	40.8967909219
882	102.27777963
883	11.6526927404
884	43.0424011569
885	65.5947406211
886	29.9805030415
887	29.1676666456
888	42.0
889	55.1843441326
890	148.0
891	190.257150663
