PassengerId	Age
1	22.0
2	38.0
3	26.0
4	35.0
5	35.0
6	14.19584043518718
7	54.0
8	2.0
9	27.0
10	14.0
11	4.0
12	58.0
13	20.0
14	39.0
15	14.0
16	55.0
17	2.0
18	31.65724867716029
19	31.0
20	25.038942955661074
21	35.0
22	34.0
23	15.0
24	28.0
25	8.0
26	38.0
27	36.911563263879785
28	19.0
29	40.36947281935735
30	30.95625747561698
31	40.0
32	4.846755844896256
33	60.57950573980351
34	66.0
35	28.0
36	42.0
37	15.672082250799003
38	21.0
39	18.0
40	14.0
41	40.0
42	27.0
43	25.242583821017696
44	3.0
45	19.0
46	11.79613578468932
47	31.7842746418451
48	3.583450958407309
49	24.589287381676208
50	18.0
51	7.0
52	21.0
53	49.0
54	29.0
55	65.0
56	30.396369497735723
57	21.0
58	28.5
59	5.0
60	11.0
61	22.0
62	38.0
63	45.0
64	4.0
65	18.011058378477863
66	31.31090057119238
67	29.0
68	19.0
69	17.0
70	26.0
71	32.0
72	16.0
73	21.0
74	26.0
75	32.0
76	25.0
77	13.901037382089552
78	49.52190088515959
79	0.83
80	30.0
81	22.0
82	29.0
83	14.387531308095216
84	28.0
85	17.0
86	33.0
87	16.0
88	3.4785595659824584
89	23.0
90	24.0
91	29.0
92	20.0
93	46.0
94	26.0
95	59.0
96	8.502251938849858
97	71.0
98	23.0
99	34.0
100	34.0
101	28.0
102	45.42335971912538
103	21.0
104	33.0
105	37.0
106	28.0
107	21.0
108	6.239692010477054
109	38.0
110	46.107558725368335
111	47.0
112	14.5
113	22.0
114	20.0
115	17.0
116	21.0
117	70.5
118	29.0
119	24.0
120	2.0
121	21.0
122	17.80713428443343
123	32.5
124	32.5
125	54.0
126	12.0
127	57.694155518825355
128	24.0
129	9.960354365077364
130	45.0
131	33.0
132	20.0
133	47.0
134	29.0
135	25.0
136	23.0
137	19.0
138	37.0
139	16.0
140	24.0
141	14.272658449513123
142	22.0
143	24.0
144	19.0
145	18.0
146	19.0
147	27.0
148	9.0
149	36.5
150	42.0
151	51.0
152	22.0
153	55.5
154	40.5
155	12.51732480422061
156	51.0
157	16.0
158	30.0
159	1.589670599078925
160	15.009606107775888
161	44.0
162	40.0
163	26.0
164	17.0
165	1.0
166	9.0
167	13.345273803745227
168	45.0
169	27.967445379418244
170	28.0
171	61.0
172	4.0
173	1.0
174	21.0
175	56.0
176	18.0
177	3.780404651842308
178	50.0
179	30.0
180	36.0
181	39.5923116432331
182	21.253740685995517
183	9.0
184	1.0
185	4.0
186	21.975092718975404
187	7.804546929838951
188	45.0
189	40.0
190	36.0
191	32.0
192	19.0
193	19.0
194	3.0
195	44.0
196	58.0
197	32.33790376129476
198	42.0
199	14.62052950689562
200	24.0
201	28.0
202	38.241815061757656
203	34.0
204	45.5
205	18.0
206	2.0
207	32.0
208	26.0
209	16.0
210	40.0
211	24.0
212	35.0
213	22.0
214	30.0
215	38.85573575400572
216	31.0
217	27.0
218	42.0
219	32.0
220	30.0
221	16.0
222	27.0
223	51.0
224	32.88138744379768
225	38.0
226	22.0
227	19.0
228	20.5
229	18.0
230	30.2450383465223
231	35.0
232	29.0
233	59.0
234	5.0
235	24.0
236	2.902214157093308
237	44.0
238	8.0
239	19.0
240	33.0
241	14.819009759350593
242	25.312476316436193
243	29.0
244	22.0
245	30.0
246	44.0
247	25.0
248	24.0
249	37.0
250	54.0
251	43.25459250504909
252	29.0
253	62.0
254	30.0
255	41.0
256	29.0
257	16.01097886715294
258	30.0
259	35.0
260	50.0
261	4.151008688437184
262	3.0
263	52.0
264	40.0
265	5.071169918036755
266	36.0
267	16.0
268	25.0
269	58.0
270	35.0
271	23.768197358184615
272	25.0
273	41.0
274	37.0
275	44.52963821437273
276	63.0
277	45.0
278	17.20975740631836
279	7.0
280	35.0
281	65.0
282	28.0
283	16.0
284	19.0
285	25.424748785865884
286	33.0
287	30.0
288	22.0
289	42.0
290	22.0
291	26.0
292	19.0
293	36.0
294	24.0
295	24.0
296	33.61371650003928
297	23.5
298	2.0
299	21.108153669919147
300	50.0
301	8.492164719942213
302	17.25462016680443
303	19.0
304	26.45187537741287
305	16.99146620502316
306	0.92
307	25.028339309341884
308	17.0
309	30.0
310	30.0
311	24.0
312	18.0
313	26.0
314	28.0
315	43.0
316	26.0
317	24.0
318	54.0
319	31.0
320	40.0
321	22.0
322	27.0
323	30.0
324	22.0
325	18.324769077824545
326	36.0
327	61.0
328	36.0
329	31.0
330	16.0
331	44.06579535537058
332	45.5
333	38.0
334	16.0
335	46.33642851649599
336	13.175289479799066
337	29.0
338	41.0
339	45.0
340	45.0
341	2.0
342	24.0
343	28.0
344	25.0
345	36.0
346	24.0
347	40.0
348	6.834189831683231
349	3.0
350	42.0
351	23.0
352	33.53669478571941
353	15.0
354	25.0
355	32.37027930424428
356	28.0
357	22.0
358	38.0
359	2.755708425376855
360	6.866697598679455
361	40.0
362	29.0
363	45.0
364	35.0
365	38.468225615300526
366	30.0
367	60.0
368	22.961242910227888
369	26.219396593276365
370	24.0
371	25.0
372	18.0
373	19.0
374	22.0
375	3.0
376	38.62757096340809
377	22.0
378	27.0
379	20.0
380	19.0
381	42.0
382	1.0
383	32.0
384	35.0
385	53.35017943996768
386	18.0
387	1.0
388	36.0
389	37.94130567893037
390	17.0
391	36.0
392	21.0
393	28.0
394	23.0
395	24.0
396	22.0
397	31.0
398	46.0
399	23.0
400	28.0
401	39.0
402	26.0
403	21.0
404	28.0
405	20.0
406	34.0
407	51.0
408	3.0
409	21.0
410	28.255504173654955
411	60.228348770441684
412	31.22515777349237
413	33.0
414	1.0802124251269047
415	44.0
416	4.007535233617947
417	34.0
418	18.0
419	30.0
420	10.0
421	19.768910902661005
422	21.0
423	29.0
424	28.0
425	18.0
426	28.87649606441798
427	28.0
428	19.0
429	22.8945368698911
430	32.0
431	28.0
432	6.26695289986262
433	42.0
434	17.0
435	50.0
436	14.0
437	21.0
438	24.0
439	64.0
440	31.0
441	45.0
442	20.0
443	25.0
444	28.0
445	60.25958800116438
446	4.0
447	13.0
448	34.0
449	5.0
450	52.0
451	36.0
452	32.91932410789498
453	30.0
454	49.0
455	36.362268804088416
456	29.0
457	65.0
458	20.25199127262977
459	50.0
460	18.3876686431031
461	48.0
462	34.0
463	47.0
464	48.0
465	50.15608581564345
466	38.0
467	29.296281912296752
468	56.0
469	2.6320806988833687
470	0.75
471	46.97830917875873
472	38.0
473	33.0
474	23.0
475	22.0
476	28.228455236477338
477	34.0
478	29.0
479	22.0
480	2.0
481	9.0
482	44.989719372217145
483	50.0
484	63.0
485	25.0
486	28.44370949198393
487	35.0
488	58.0
489	30.0
490	9.0
491	52.1211651342404
492	21.0
493	55.0
494	71.0
495	21.0
496	33.42221876965361
497	54.0
498	33.6775979697933
499	25.0
500	24.0
501	17.0
502	21.0
503	44.02684061566161
504	37.0
505	16.0
506	18.0
507	33.0
508	29.073208093010923
509	28.0
510	26.0
511	29.0
512	46.29995193939861
513	36.0
514	54.0
515	24.0
516	47.0
517	34.0
518	33.96132768141748
519	36.0
520	32.0
521	30.0
522	22.0
523	20.683669788870958
524	44.0
525	23.681017556921454
526	40.5
527	50.0
528	24.148631998030854
529	39.0
530	23.0
531	2.0
532	19.53614012239
533	17.0
534	43.70725524575343
535	30.0
536	7.0
537	45.0
538	30.0
539	6.319953442722293
540	22.0
541	36.0
542	9.0
543	11.0
544	32.0
545	50.0
546	64.0
547	19.0
548	47.90534479268959
549	33.0
550	8.0
